Material;Texto breve material;Utilização livre
1127900;DISJUNTOR MINI 3P 63A 5SL13637MB SIEMENS;8
1129443;SCALANCE XB008 6GK5008-0BA10-1AB2 SIEMEN;2
1129502;CONECTOR ETHERNET 6GK1901-1BB10-2AA0;15
1135876;VALVULA CARTUCHO SV2 20 M0460378 SAUR;2
1136700;PISTOLA DE AR VMG11BU-02-03 SMC;18
1137846;LOGO 6ED1052-1MD08-0BA1          SIEMENS;2
1139436;DISJUNTOR 3RV2011-1CA10 2,5A SIEMENS;7
1140806;GRAXA KLUBERFOOD NH1 71-571 SAM 180KG;1
1141149;"CONEXAO RETA JIC 1/2""X3/4""";19
1143574;LIMA CHATA 8 CABO HO-08990 NICHOLSON;4
1144115;FONTE SITOP 20A 6EP1336-2BA10 SEIMENS;4
1146118;"VIGA-U ACO CARB.LAMINADA 76,20X4,32MM 3""";3,000
1148394;ANEL DE FELTRO UNN-44001-016 BUHLER;12
1150261;VALVULA DIRECIONAL D1VW002CNJW PARKER;1
1150271;"TALHADEIRA 12"" COM EMPUNHADURA 44473/930";6
1151029;ACOPLAMENTO FLEX AT-35 ANTARES;2
1151960;HASTE LAAA-10034-001 BUHLER;16
1152925;KIT ELASTICO H/HR 357 UK ANTARES;1
1154778;DISJUNTOR MOTOR PARF.3RV20314W10 42-52A;1
1156060;DESENGORDURANTE MASTERCLEAN HP-1 BD 20L;59
1157883;MOLA 1.5X18.5X70X33 DDK-05593-020 BUHLER;2
1159518;PRENSA CABO INOX M20 IDS021041 SENSORVIL;30
1160809;GRAXA KLUBERSYNTH UH1 14-151;3
1162531;SENSOR VEGAPULS PS6X2229H4 VEGA;2
1162665;BOLSA FILTRO        F57;2
1162666;CANETA MARCADORA   F06;2
1162852;CADEADO PLASTICO SEGREDO 1.5 AZ 99556PM;16
1165671;OLEO SHELL OMALA S2 G320 209L;2
1166627;LUMINARIA LED HERM DAMP PROOF 58W;10
1166980;CONECTOR DE EMENDA 05 POLOS;29
1167501;PROJETOR LED SLIM TGVP 150W  TELBRA;9
1169621;VALVULA DE VENTAGEM M0460187 SAUR;1
1169737;CADEADO PADO LT-35MM SEG S1 VERMELHO;99
1169943;VALVULA CARTUCHO AD C16-2 M0460160 SAUR;1
1169944;VALVULA DIRECIONAL D1VW001CNJW PARKER;1
1169945;VALVULA DIRECIONAL D1VW004CNJW PARKER;1
1169948;BOMBA HIDRAULICA M0500167 PARKER;1
1171597;JG CHAV EXA LON 9 PE TRAMONTINA 44421209;6
1171630;CADEADO DE PLAS.SEG.VERM 99552PM   BRADY;19
1171631;CADEADO DE PLAS.SEG.AMAR 99570PM   BRADY;20
1172422;"TORQUES P/ FERRADOR 12"" WALMUR";6
1172916;"VISOR DE NIVEL 3D 1/4"" NPT";4
1172917;"VISOR DE NIVEL 3D 1/2"" NPT";10
1173596;ADESIVO LOCTITE INSTANTANEO 495 20GR;19
1174947;LUMINARIA HIGH BAY VALUE 83W LEDVANCE;10
1174948;LUMINARIA PANEL PFM 36W 4000K LEDVANCE;5
1176111;VASSOURA LATERAL BOBCAT;2
1176239;CONECTOR 2P 0,08A4,0MM 32A-221-412 WAGO;16
1176408;ACOPLAMENTO HR 367  HYTREL ANTARES;1
1176409;KIT ELASTICO H/HR 367 UK ANTARES;2
1176410;ACOPLAMENTO HR 307  HYTREL ANTARES;1
1176411;KIT ELASTICO H/HR 307 UK ANTARES;1
1176412;ACOPLAMENTO HR 357  HYTREL ANTARES;1
1176443;LIXA D AGUA 600;4
1176468;LIXA D AGUA 2000;5
1176658;SWITCH SCALANCE 6GK52062BB002AC2 SIEMENS;1
1176698;INVERSOR 6SL3210-1PE23-8UL0 38A SIEMENS;1
1176699;INVERSOR 6SL3210-1PE27-5UL0 75A SIEMENS;1
1176945;OLEO LUBRIF GLYGOYLE 220 PAIL 20L MOBIL;2
1176946;OLEO LUBRIF SHC 632 DRUM 208,2L MOBIL;2
1177766;BROCA ACO RAPIDO 17,00MM;10
1178170;SOFT STARTER 210A 3RW5543-6HA14 SIEMENS;1
1178171;CORREIA TRAP LAAA-11710-001 SPA LW5000;2
1178173;CHAPA DE VEDACAO LAAA-11232-001 BUHLER;2
1178175;CHAPA DE VEDACAO LAAA-11091-001 BUHLER;2
1178178;CHAPA DE VEDACAO LAAA-11089-001 BUHLER;2
1178179;SOFT-STARTER 47A 3RW55241HA14 SIEMENS;2
1178190;VEDACAO PLANA LAAA-11231-001 BUHLER;2
1178191;ESFERA DE BORRACHA LAAA-10530-001 BUHLER;1.120
1178193;INTERRUPTOR DE PROX UXE-26310-193 BUHLER;2
1178195;MANCAL DE FLANGE UXN-54012-015 BUHLER;2
1178196;ROLAMENTO DE ESFERA UNN-56004-210 BUHLER;3
1178197;ROLAMENTO AUTOCOMP UXN-56010-116 BUHLER;2
1178198;ANEL DE FELTRO UNN-44001-020 BUHLER;6
1178199;CHAPA DE DESVIO OLCC-12710-001 BUHLER;6
1178207;CORREIA TRAP UXN-64019-480 SPB 16.3/13;20
1178208;SENSOR TEMPERATURA UXE-26579-001 BUHLER;2
1178209;VALVULA REGULADORA OLFB-10631-001 UL/CSA;1
1178210;PAREDE LATERAL OLCC-12706-001 BUHLER;6
1178211;LAMINA RASPADORA OLCC-12385-001 BUHLER;12
1178212;CORREIA DENTADA UNN-64019-530 BUHLER;3
1178213;PORCA OLCC-12347-001 BUHLER;6
1178214;PARAFUSO TENSOR OLCC-12569-001 BUHLER;8
1178216;INTERRUPTOR DE PROX UNE-26311-012 BUHLER;2
1178217;INTERRUPTOR DE PROX UXE-26331-004 BUHLER;2
1178218;SONDA DE TEMP UXE-26570-060 BUHLER;4
1178222;PRESSOSTATO OUV-12038-967         BUHLER;1
1178223;BLOCO DE COMANDO OUV-12058-952    BUHLER;1
1178224;MANOMETRO OUV-12058-953           BUHLER;1
1178225;PERFIL BORRACHA ESPONJOSA UNR-57744-355;15
1178226;TERMOMETRO DE RESISTENCIA DCHA-11362-001;1
